T,PressureNitrogen,PressureHydrogen
255,0.78055042816088,0.815053857804868
257,0.787050971896635,0.821546189800008
259,0.793551515632389,0.828038521795148
261,0.800052059368144,0.834530853790287
263,0.806552603103899,0.841023185785427
265,0.813053146839653,0.847515517780567
267,0.819553690575408,0.854007849775707
269,0.826054234311162,0.860500181770847
271,0.832554778046917,0.866992513765987
273,0.839055321782671,0.873484845761126
275,0.845555865518426,0.879977177756266
277,0.85205640925418,0.886469509751406
279,0.858556952989935,0.892961841746546
281,0.865057496725689,0.899454173741686
283,0.871558040461444,0.905946505736826
285,0.878058584197198,0.912438837731965
287,0.884559127932953,0.918931169727105
289,0.891059671668708,0.925423501722245
291,0.897560215404462,0.931915833717385
293,0.904060759140217,0.938408165712525
295,0.910561302875971,0.944900497707664
297,0.917061846611726,0.951392829702804
299,0.92356239034748,0.957885161697944
301,0.930062934083235,0.964377493693084
303,0.936563477818989,0.970869825688224
305,0.943064021554744,0.977362157683363
307,0.949564565290498,0.983854489678503
309,0.956065109026253,0.990346821673643
311,0.962565652762008,0.996839153668783
313,0.969066196497762,1.00333148566392
315,0.975566740233517,1.00982381765906
